goos: darwin
goarch: arm64
pkg: github.com/DataDog/go-libddwaf/v5
cpu: Apple M4 Max
BenchmarkNewContextOnly-16                              	  916142	      1293 ns/op	     141 B/op	       5 allocs/op
BenchmarkContextCloseOnly-16                            	  692689	      1740 ns/op	    1479 B/op	       5 allocs/op
BenchmarkContextCloseOnly-16                            	  673861	      1743 ns/op	    1479 B/op	       5 allocs/op
BenchmarkContextCloseOnly-16                            	  663912	      1748 ns/op	    1479 B/op	       5 allocs/op
BenchmarkContextCloseOnly-16                            	  698601	      1746 ns/op	    1479 B/op	       5 allocs/op
BenchmarkContextCloseOnly-16                            	  693628	      1745 ns/op	    1479 B/op	       5 allocs/op
BenchmarkContextCloseOnly-16                            	  689564	      1734 ns/op	    1479 B/op	       5 allocs/op
BenchmarkContextCloseOnly-16                            	  688548	      1744 ns/op	    1479 B/op	       5 allocs/op
BenchmarkContextCloseOnly-16                            	  692601	      1732 ns/op	    1479 B/op	       5 allocs/op
BenchmarkContextCloseOnly-16                            	  694813	      1729 ns/op	    1479 B/op	       5 allocs/op
BenchmarkContextCloseOnly-16                            	  684747	      1727 ns/op	    1479 B/op	       5 allocs/op
--- FAIL: BenchmarkRunOnly
    benchmark_test.go:408: waf timeout
BenchmarkSubcontextRunOnly-16                           	   65172	     18473 ns/op	    1144 B/op	      23 allocs/op
BenchmarkSubcontextRunOnly-16                           	   65680	     18389 ns/op	    1140 B/op	      23 allocs/op
BenchmarkSubcontextRunOnly-16                           	   65074	     18503 ns/op	    1139 B/op	      23 allocs/op
BenchmarkSubcontextRunOnly-16                           	   65233	     18276 ns/op	    1144 B/op	      23 allocs/op
BenchmarkSubcontextRunOnly-16                           	   65834	     18323 ns/op	    1142 B/op	      23 allocs/op
BenchmarkSubcontextRunOnly-16                           	   65224	     18413 ns/op	    1146 B/op	      23 allocs/op
BenchmarkSubcontextRunOnly-16                           	   65360	     18378 ns/op	    1145 B/op	      23 allocs/op
BenchmarkSubcontextRunOnly-16                           	   65294	     18506 ns/op	    1141 B/op	      23 allocs/op
BenchmarkSubcontextRunOnly-16                           	   65635	     18516 ns/op	    1143 B/op	      23 allocs/op
BenchmarkSubcontextRunOnly-16                           	   65346	     18411 ns/op	    1140 B/op	      23 allocs/op
BenchmarkColdStart-16                                   	    6264	    194403 ns/op	   12138 B/op	      19 allocs/op
BenchmarkColdStart-16                                   	    6235	    198513 ns/op	   12128 B/op	      19 allocs/op
BenchmarkColdStart-16                                   	    5841	    192844 ns/op	   12128 B/op	      19 allocs/op
BenchmarkColdStart-16                                   	    6402	    193581 ns/op	   12119 B/op	      19 allocs/op
BenchmarkColdStart-16                                   	    6564	    189790 ns/op	   12131 B/op	      19 allocs/op
BenchmarkColdStart-16                                   	    6265	    189922 ns/op	   12135 B/op	      19 allocs/op
BenchmarkColdStart-16                                   	    6564	    196902 ns/op	   12165 B/op	      20 allocs/op
BenchmarkColdStart-16                                   	    6352	    195265 ns/op	   12156 B/op	      19 allocs/op
BenchmarkColdStart-16                                   	    6260	    189890 ns/op	   12138 B/op	      19 allocs/op
BenchmarkColdStart-16                                   	    6528	    196034 ns/op	   12154 B/op	      19 allocs/op
BenchmarkNewContextParallel-16                          	 1279070	       904.9 ns/op	    1615 B/op	      10 allocs/op
BenchmarkNewContextParallel-16                          	 1265163	       929.1 ns/op	    1616 B/op	      10 allocs/op
BenchmarkNewContextParallel-16                          	 1265629	       909.0 ns/op	    1616 B/op	      10 allocs/op
BenchmarkNewContextParallel-16                          	 1285029	       914.6 ns/op	    1616 B/op	      10 allocs/op
BenchmarkNewContextParallel-16                          	 1296583	       914.8 ns/op	    1617 B/op	      10 allocs/op
BenchmarkNewContextParallel-16                          	 1254319	       914.8 ns/op	    1616 B/op	      10 allocs/op
BenchmarkNewContextParallel-16                          	 1312011	       905.2 ns/op	    1617 B/op	      10 allocs/op
BenchmarkNewContextParallel-16                          	 1304919	       911.1 ns/op	    1616 B/op	      10 allocs/op
BenchmarkNewContextParallel-16                          	 1304455	       900.8 ns/op	    1616 B/op	      10 allocs/op
BenchmarkNewContextParallel-16                          	 1297926	       893.9 ns/op	    1616 B/op	      10 allocs/op
BenchmarkSiblingSubcontextParallelism-16                	  515764	      2106 ns/op	    1234 B/op	      26 allocs/op
BenchmarkSiblingSubcontextParallelism-16                	  510381	      2115 ns/op	    1233 B/op	      26 allocs/op
BenchmarkSiblingSubcontextParallelism-16                	  503510	      2118 ns/op	    1233 B/op	      26 allocs/op
BenchmarkSiblingSubcontextParallelism-16                	  484383	      2126 ns/op	    1234 B/op	      26 allocs/op
BenchmarkSiblingSubcontextParallelism-16                	  497617	      2103 ns/op	    1234 B/op	      26 allocs/op
BenchmarkSiblingSubcontextParallelism-16                	  502550	      2101 ns/op	    1234 B/op	      26 allocs/op
BenchmarkSiblingSubcontextParallelism-16                	  509024	      2125 ns/op	    1233 B/op	      26 allocs/op
BenchmarkSiblingSubcontextParallelism-16                	  511941	      2109 ns/op	    1232 B/op	      26 allocs/op
BenchmarkSiblingSubcontextParallelism-16                	  506557	      2105 ns/op	    1234 B/op	      26 allocs/op
BenchmarkSiblingSubcontextParallelism-16                	  506572	      2108 ns/op	    1233 B/op	      26 allocs/op
BenchmarkSiblingSubcontextSerialized-16                 	  673687	      1710 ns/op	    1235 B/op	      26 allocs/op
BenchmarkSiblingSubcontextSerialized-16                 	  659011	      1702 ns/op	    1237 B/op	      26 allocs/op
BenchmarkSiblingSubcontextSerialized-16                 	  668047	      1705 ns/op	    1240 B/op	      26 allocs/op
BenchmarkSiblingSubcontextSerialized-16                 	  673305	      1711 ns/op	    1236 B/op	      26 allocs/op
BenchmarkSiblingSubcontextSerialized-16                 	  657553	      1708 ns/op	    1240 B/op	      26 allocs/op
BenchmarkSiblingSubcontextSerialized-16                 	  666920	      1693 ns/op	    1243 B/op	      26 allocs/op
BenchmarkSiblingSubcontextSerialized-16                 	  657937	      1697 ns/op	    1238 B/op	      26 allocs/op
BenchmarkSiblingSubcontextSerialized-16                 	  661167	      1717 ns/op	    1241 B/op	      26 allocs/op
BenchmarkSiblingSubcontextSerialized-16                 	  655972	      1725 ns/op	    1240 B/op	      26 allocs/op
BenchmarkSiblingSubcontextSerialized-16                 	  670272	      1722 ns/op	    1243 B/op	      26 allocs/op
BenchmarkContextRun-16                                  	  645007	      1685 ns/op	    1254 B/op	      26 allocs/op
BenchmarkContextRun-16                                  	  681985	      1698 ns/op	    1255 B/op	      26 allocs/op
BenchmarkContextRun-16                                  	  678854	      1688 ns/op	    1254 B/op	      26 allocs/op
BenchmarkContextRun-16                                  	  660128	      1681 ns/op	    1252 B/op	      26 allocs/op
BenchmarkContextRun-16                                  	  694375	      1670 ns/op	    1250 B/op	      26 allocs/op
BenchmarkContextRun-16                                  	  688060	      1674 ns/op	    1257 B/op	      26 allocs/op
BenchmarkContextRun-16                                  	  689104	      1677 ns/op	    1254 B/op	      26 allocs/op
BenchmarkContextRun-16                                  	  679664	      1676 ns/op	    1253 B/op	      26 allocs/op
BenchmarkContextRun-16                                  	  679225	      1700 ns/op	    1254 B/op	      26 allocs/op
BenchmarkContextRun-16                                  	  682732	      1683 ns/op	    1257 B/op	      26 allocs/op
BenchmarkSubcontextRun-16                               	  673000	      1702 ns/op	    1250 B/op	      26 allocs/op
BenchmarkSubcontextRun-16                               	  657156	      1699 ns/op	    1253 B/op	      26 allocs/op
BenchmarkSubcontextRun-16                               	  658392	      1696 ns/op	    1256 B/op	      26 allocs/op
BenchmarkSubcontextRun-16                               	  675609	      1710 ns/op	    1253 B/op	      26 allocs/op
BenchmarkSubcontextRun-16                               	  676813	      1701 ns/op	    1253 B/op	      26 allocs/op
BenchmarkSubcontextRun-16                               	  654387	      1708 ns/op	    1252 B/op	      26 allocs/op
BenchmarkSubcontextRun-16                               	  681351	      1693 ns/op	    1259 B/op	      26 allocs/op
BenchmarkSubcontextRun-16                               	  594896	      1725 ns/op	    1252 B/op	      26 allocs/op
BenchmarkSubcontextRun-16                               	  678698	      1705 ns/op	    1252 B/op	      26 allocs/op
BenchmarkSubcontextRun-16                               	  670946	      1699 ns/op	    1252 B/op	      26 allocs/op
BenchmarkEncoder/1024-16                                	  163026	      6734 ns/op	    7997 B/op	     113 allocs/op
BenchmarkEncoder/1024-16                                	  180240	      7133 ns/op	    8690 B/op	     113 allocs/op
BenchmarkEncoder/1024-16                                	  237999	      7016 ns/op	    8043 B/op	     113 allocs/op
BenchmarkEncoder/1024-16                                	  238713	      8245 ns/op	   10522 B/op	     113 allocs/op
BenchmarkEncoder/1024-16                                	  239637	      5420 ns/op	    8388 B/op	     113 allocs/op
BenchmarkEncoder/1024-16                                	  238292	      5383 ns/op	    9619 B/op	     113 allocs/op
BenchmarkEncoder/1024-16                                	  237769	      5146 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/1024-16                                	  240235	      5144 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/1024-16                                	  234145	      5672 ns/op	   13171 B/op	     113 allocs/op
